MasterFile,CollisionDate,CollisionTime,RoadwayName,ParkingLotIndicator,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVehicleUnits,Hit&RunIndicator,OneWayIndicator,SpeedLimitNumber,CountyCode,CityCountyCode,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,LocationFirstEventCode,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,LandUseCode,SchoolBusRelatedCode,FirstAidSceneIndicator,PropertyDamageIndicator,YR,KABCO,WorkingRID,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,CityCrash,DACid,Intersection Crash,Segment Crash,Int_ID,CityIntersection
72730606,20220213,1823,KY3496,N,0.78,0,0,2,2,N,N,35,98,9801,Y,37.47206,-82.52989,1,3,6,1,1,3,3,7,3,N,N,2022,O,098-KY-3496  -000,098-KY-3496  -000,0.78,0,0,1,0,0,0,0,1,0,0,0,0,0,1,DAC,1,0,195-1185,1
72563366,20201110,707,OWSLEY,N,7.018,1,0,2,2,N,N,45,98,9801,Y,37.48013,-82.53933,1,3,6,1,1,2,2,1,3,Y,N,2020,C,098-KY-1384  -000,098-KY-1384  -000,7.018,0,0,1,0,0,0,1,0,0,0,0,0,0,1,DAC,0,1,,
72563573,20201111,1434,KY1426,N,7.498,1,0,1,1,N,N,45,98,9801,Y,37.49044,-82.50043,9,3,3,1,5,6,2,1,3,N,N,2020,B,098-KY-1426  -000,098-KY-1426  -000,7.498,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72657860,20210808,1741,CASSIDY,N,0.24,0,0,2,2,N,N,15,98,9801,Y,37.50444,-82.5358,5,3,6,1,1,2,2,1,3,N,N,2021,O,098-CS-1191  -000,098-CS-1191  -000,0.24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72696679,20211113,1759,LYKINS,N,0.24,0,0,1,1,N,N,25,98,9801,Y,37.50481,-82.54839,9,97,3,1,1,2,6,6,3,N,Y,2021,O,098-CS-1249  -000,098-CS-1249  -000,0.24,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72776620,20220621,1642,US23 TURN LANE,N,0.01,0,0,1,1,N,N,55,98,9801,Y,37.50364,-82.53255,9,3,6,1,1,2,2,7,3,N,N,2022,O,098-US-0023  -021,098-US-0023  -021,0.01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,1,0,195-0861,1
72746872,20220325,1927,US23,N,23.062,4,0,2,2,N,N,55,98,9801,Y,37.46593,-82.52807,1,3,6,1,1,2,2,1,3,N,N,2022,B,098-US-0023  -000,098-US-0023  -000,23.062,0,0,0,1,0,0,1,1,0,1,1,0,0,1,DAC,0,1,,
72757878,20220504,1601,US23,N,18.456,0,0,2,2,Y,N,55,98,9801,Y,37.4352,-82.51292,8,3,5,1,1,2,2,7,3,N,N,2022,O,098-US-0023  -010,098-US-0023  -000,18.456,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72528128,20200714,1955,US119,N,2.705,3,0,2,2,N,N,55,98,9801,Y,37.51402,-82.48693,1,3,4,1,1,2,2,7,3,Y,N,2020,C,098-US-0119  -000,098-US-0119  -000,2.705,0,0,0,0,0,0,1,0,0,0,0,0,0,1,DAC,1,0,195-0777,1
72797041,20220822,1309,CASSIDY,N,0.157,0,0,2,2,Y,N,35,98,9801,Y,37.50368,-82.53461,1,3,3,1,1,3,2,7,3,N,N,2022,O,098-CS-1191  -000,098-CS-1191  -000,0.157,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Non-DAC,0,1,,
